id,amount
44145,2500.0
80211,100.0
33179,100.0
98005,25.0
98005,75.0
60015,100.0
80223,200.0
90504,100.0
63044,100.0
98104,100.0
85260,100.0
10023,110.0
10023,75.0
73034,100.0
94303,100.0
80301,200.0
80202,100.0
85260,100.0
94117,2500.0
95473,100.0
94115,100.0
94601,200.0
60516,100.0
80202,250.0
94609,200.0
94111,250.0
94024,100.0
94123,100.0
33602,100.0
94107,300.0
80304,100.0
80304,1000.0
94607,100.0
60035,2500.0
95060,100.0
95060,100.0
94612,100.0
95005,300.0
94110,100.0
97229,100.0
95646,100.0
95006,200.0
10011,100.0
94117,200.0
89106,100.0
V7J1V2,100.0
94601,100.0
19046,100.0
94530,100.0
94612,300.0
94610,100.0
94538,100.0
95062,200.0
94111,2500.0
94011,100.0
92705,100.0
10023,200.0
94612,100.0
2143,100.0
85255,100.0
92285,500.0
92264,300.0
94501,100.0
2111,200.0
80203,5000.0
2370,100.0
94546,100.0
92626,200.0
91362,200.0
95060,50.0
95060,50.0
93102,500.0
80021,100.0
48009,200.0
93001,100.0
92627,100.0
94804,200.0
T2P0R3,100.0
94104,200.0
92879,5000.0
90045,2500.0
33487,200.0
80205,625.0
48207,200.0
94607,100.0
93901,500.0
93901,100.0
80302,100.0
34668,100.0
94610,100.0
94601,150.0
98104,100.0
94110,100.0
20012,100.0
94621,300.0
94621,100.0
90066,100.0
11231,100.0
80302,200.0
95076,300.0
89102,400.0
95008,200.0
95404,100.0
19904,100.0
95482,100.0
80209,100.0
98406,100.0
91007,100.0
94707,200.0
20814,100.0
94117,500.0
94612,100.0
98124,100.0
94607,200.0
11215,100.0
43110,100.0
85258,100.0
90277,200.0
11746,100.0
60618,100.0
92688,100.0
94903,100.0
60640,100.0
92624,100.0
95060,100.0
80207,100.0
95815,300000.0
95815,420000.0
80211,100.0
11557,100.0
94702,100.0
94158,100.0
95521,200.0
94303,100.0
6831,100.0
91423,200.0
92705,500.0
80401,100.0
95448,100.0
92101,100.0
92624,100.0
80027,500.0
80211,100.0
89571,200.0
89511,100.0
94530,100.0
92660,200.0
93023,100.0
20009,400.0
33301,100.0
94115,500.0
80134,100.0
94601,100.0
85251,100.0
28217,200.0
30338,100.0
93003,100.0
63119,100.0
95819,3000.0
95819,250.0
95076,500.0
10003,100.0
95409,2500.0
94118,200.0
43202,100.0
94530,1000.0
98040,100.0
92532,2500.0
19087,200.0
19034,300.0
90004,100.0
94710,100.0
97205,200.0
94606,500.0
60654,300.0
80302,1000.0
90277,500.0
92101,250.0
92270,250.0
94002,100.0
90291,1000.0
20002,1000.0
92116,100.0
90077,500.0
94965,250.0
94595,250.0
90402,5000.0
91302,100.0
94114,500.0
90035,500.0
91104,100.0
44106,250.0
91104,50.0
94708,50.0
94708,50.0
94708,25.0
92692,100.0
